origin_date,forecast_period,dimension_type,dimension_value,metric,actual,p10,p50,p90,absolute_error,ape,smape,covered_by_interval
2024-04-30,90_days,Campaign,Pmax_Campaign_06,Revenue,6294.719,26337.53,38632.82,50928.1,32338.101,513.7338,143.9567,False
2024-04-30,90_days,Campaign,Pmax_Campaign_06,ROAS,3.3949,2.61,3.83,5.05,0.4351,12.8151,12.0434,True
2024-04-30,30_days,Campaign,Pmax_Campaign_07,Revenue,5844.4422,227.92,4558.39,11203.16,1286.0522,22.0047,24.725,True
2024-04-30,30_days,Campaign,Pmax_Campaign_07,ROAS,3.2874,0.12,2.34,5.74,0.9474,28.8194,33.6713,True
2024-04-30,60_days,Campaign,Pmax_Campaign_07,Revenue,8675.8985,457.65,9153.03,20328.16,477.1315,5.4995,5.3523,True
2024-04-30,60_days,Campaign,Pmax_Campaign_07,ROAS,3.5727,0.12,2.34,5.2,1.2327,34.5036,41.6971,True
2024-04-30,90_days,Campaign,Pmax_Campaign_07,Revenue,11368.6357,686.41,13728.25,28875.06,2359.6143,20.7555,18.804,True
2024-04-30,90_days,Campaign,Pmax_Campaign_07,ROAS,3.3172,0.12,2.34,4.92,0.9772,29.4588,34.5474,True
2024-04-30,30_days,Campaign,Pmax_NTM_Campaign_11,Revenue,2514.9498,3016.12,5538.08,8060.03,3023.1302,120.2064,75.0806,False
2024-04-30,30_days,Campaign,Pmax_NTM_Campaign_11,ROAS,7.2406,2.9,5.33,7.76,1.9106,26.3873,30.3979,True
2024-04-30,60_days,Campaign,Pmax_NTM_Campaign_11,Revenue,2514.9498,6828.82,11070.23,15311.64,8555.2802,340.177,125.9502,False
2024-04-30,60_days,Campaign,Pmax_NTM_Campaign_11,ROAS,7.096,3.29,5.33,7.37,1.766,24.887,28.4239,True
2024-04-30,90_days,Campaign,Pmax_NTM_Campaign_11,Revenue,2514.9498,10827.53,16576.34,22325.15,14061.3902,559.1122,147.3069,False
2024-04-30,90_days,Campaign,Pmax_NTM_Campaign_11,ROAS,6.8865,3.48,5.32,7.17,1.5665,22.7477,25.6671,True
2024-04-30,30_days,Campaign,Pmax_Campaign_04,Revenue,67.12,11.16,223.23,1106.6,156.11,232.5834,107.5323,True
2024-04-30,30_days,Campaign,Pmax_Campaign_04,ROAS,3.8346,0.11,2.25,11.14,1.5846,41.3239,52.0858,True
2024-04-30,60_days,Campaign,Pmax_Campaign_04,Revenue,67.12,22.55,450.95,1936.6,383.83,571.8564,148.1769,True
2024-04-30,60_days,Campaign,Pmax_Campaign_04,ROAS,3.1315,0.11,2.27,9.75,0.8615,27.511,31.8989,True
2024-04-30,90_days,Campaign,Pmax_Campaign_04,Revenue,67.12,33.94,678.79,2692.45,611.67,911.3081,164.0064,True
2024-04-30,90_days,Campaign,Pmax_Campaign_04,ROAS,3.1315,0.11,2.28,9.05,0.8515,27.1917,31.4704,True
2025-04-03,30_days,Overall,Total Portfolio,Revenue,403206.6997,236622.45,309643.98,382665.51,93562.7197,23.2047,26.2503,False
2025-04-03,30_days,Overall,Total Portfolio,ROAS,10.0775,7.9,10.34,12.77,0.2625,2.6052,2.5717,True
2025-04-03,60_days,Overall,Total Portfolio,Revenue,810889.2203,492838.07,615645.15,738452.24,195244.0703,24.0778,27.3732,False
2025-04-03,60_days,Overall,Total Portfolio,ROAS,10.414,8.34,10.42,12.49,0.006,0.058,0.0579,True
2025-04-03,90_days,Overall,Total Portfolio,Revenue,935172.2032,755927.56,922380.65,1088833.74,12791.5532,1.3678,1.3772,True
2025-04-03,90_days,Overall,Total Portfolio,ROAS,8.8965,8.57,10.46,12.35,1.5635,17.574,16.1545,True
2025-04-03,30_days,Channel,Bing Ads,Revenue,12046.05,397.21,7944.2,15740.63,4101.85,34.0514,41.0385,True
2025-04-03,30_days,Channel,Bing Ads,ROAS,14.6076,0.4,8.02,15.88,6.5876,45.0972,58.2265,True
2025-04-03,60_days,Channel,Bing Ads,Revenue,23530.75,1371.11,14483.08,27595.05,9047.67,38.4504,47.602,True
2025-04-03,60_days,Channel,Bing Ads,ROAS,10.5995,0.71,7.47,14.24,3.1295,29.5249,34.6383,True
2025-04-03,90_days,Channel,Bing Ads,Revenue,27498.54,3238.38,21010.38,38782.39,6488.16,23.5946,26.7504,True
2025-04-03,90_days,Channel,Bing Ads,ROAS,8.4257,0.89,5.8,10.7,2.6257,31.1628,36.9146,True
2025-04-03,30_days,Channel,Google Ads,Revenue,282106.0397,37605.77,192710.13,347814.48,89395.9097,31.6888,37.655,True
2025-04-03,30_days,Channel,Google Ads,ROAS,8.5894,1.55,7.94,14.34,0.6494,7.5604,7.8574,True
2025-04-03,60_days,Channel,Google Ads,Revenue,539952.6803,113397.54,374250.93,635104.32,165701.7503,30.6882,36.2505,True
2025-04-03,60_days,Channel,Google Ads,ROAS,8.7824,2.37,7.82,13.27,0.9624,10.9587,11.5939,True
2025-04-03,90_days,Channel,Google Ads,Revenue,644088.4232,206693.56,560255.03,913816.5,83833.3932,13.0158,13.9218,True
2025-04-03,90_days,Channel,Google Ads,ROAS,7.7724,2.92,7.92,12.93,0.1476,1.8987,1.8808,True
2025-04-03,30_days,Channel,Meta Ads,Revenue,109054.61,8052.25,61814.03,115575.82,47240.58,43.3183,55.2946,True
2025-04-03,30_days,Channel,Meta Ads,ROAS,17.1941,1.32,10.16,18.99,7.0341,40.91,51.4299,True
2025-04-03,60_days,Channel,Meta Ads,Revenue,247405.79,30978.74,121394.93,211811.11,126010.86,50.9329,68.3355,False
2025-04-03,60_days,Channel,Meta Ads,ROAS,17.4664,2.54,9.96,17.38,7.5064,42.9764,54.7388,False
2025-04-03,90_days,Channel,Meta Ads,Revenue,263585.24,58175.28,180725.65,303276.02,82859.59,31.4356,37.298,True
2025-04-03,90_days,Channel,Meta Ads,ROAS,13.8842,3.19,9.91,16.63,3.9742,28.6238,33.4046,True
